"","Регион","Месяц","Квартал","Индекс потребительской активности","Доля безналичных платежей","Количество внутренних туристов","Всего одобренных заявок","Доля онлайн-заявок","Доля заявок в офисе банка","Всего ипотечных сделок","Доля сделок, первичка","Доля сделок, вторичка","Среднемесячная заработная плата","Число активных абонентов беспроводного доступа к сети","Уровень безработицы населения"
"57","Астраханская область","Сентябрь","Квартал 3",75,48,36.79,"500 - 1 000",0.35,0.65,"500 - 1 000",0.14,0.82,37366.5,766,7.9
"58","Астраханская область","Октябрь","Квартал 4",69,49.3,5.13,"500 - 1 000",0.35,0.65,"500 - 1 000",0.16,0.81,37033.1,770,8.3
"59","Астраханская область","Ноябрь","Квартал 4",64.5,51.8,-7.62,"500 - 1 000",0.34,0.66,"500 - 1 000",0.14,0.84,36589.2,770,8.3
"60","Астраханская область","Декабрь","Квартал 4",71,51,-14.42,"1 000 - 5 000",0.35,0.65,"100 - 500",0.11,0.85,51306,770,8.3
"61","Белгородская область","Январь","Квартал 1",75,53.2,16.25,"500 - 1 000",0.23,0.77,"100 - 500",0.12,0.86,35590.6,8054,3.9
"62","Белгородская область","Февраль","Квартал 1",84,48.8,27.04,"500 - 1 000",0.21,0.79,"100 - 500",0.06,0.91,34484.9,8054,3.9
"63","Белгородская область","Март","Квартал 1",85,52.9,16.38,"1 000 - 5 000",0.24,0.76,"100 - 500",0.07,0.9,36199,8054,3.9
"64","Белгородская область","Апрель","Квартал 2",56.5,50.3,-43.04,"500 - 1 000",0.35,0.65,"100 - 500",0.08,0.89,35969.6,8447,5.1
"65","Белгородская область","Май","Квартал 2",63,52.8,-45.73,"1 000 - 5 000",0.59,0.41,"100 - 500",0.18,0.8,36108.9,8447,5.1
"66","Белгородская область","Июнь","Квартал 2",78.5,50.9,-2.46,"1 000 - 5 000",0.32,0.68,"500 - 1 000",0.2,0.78,37516.2,8447,5.1
"67","Белгородская область","Июль","Квартал 3",82,50.4,4.76,"1 000 - 5 000",0.34,0.66,"500 - 1 000",0.14,0.83,38915.8,15804,5.4
"68","Белгородская область","Август","Квартал 3",82,52.5,10.98,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.11,0.87,36674.3,15804,5.4
"69","Белгородская область","Сентябрь","Квартал 3",87,52.3,6.54,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.12,0.85,36500.8,15804,5.4
"70","Белгородская область","Октябрь","Квартал 4",82,53,-18.22,"1 000 - 5 000",0.36,0.64,"> 1 000",0.16,0.81,37601.2,15324,5
"71","Белгородская область","Ноябрь","Квартал 4",74.5,55.9,-27.47,"1 000 - 5 000",0.38,0.62,"500 - 1 000",0.13,0.84,36864,15324,5
"72","Белгородская область","Декабрь","Квартал 4",71,54,-22.26,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.14,0.82,45944.9,15324,5
"73","Брянская область","Январь","Квартал 1",60,45.7,14.58,"500 - 1 000",0.25,0.75,"100 - 500",0.26,0.74,29470.2,260,3.3
"74","Брянская область","Февраль","Квартал 1",62,42.3,22.86,"500 - 1 000",0.22,0.78,"100 - 500",0.17,0.83,29795.6,260,3.3
"75","Брянская область","Март","Квартал 1",63,44.2,11.14,"500 - 1 000",0.24,0.76,"100 - 500",0.24,0.74,30498.4,260,3.3
"76","Брянская область","Апрель","Квартал 2",46.5,45.4,-40.49,"100 - 500",0.39,0.61,"100 - 500",0.17,0.83,31635.6,276,4.2
"77","Брянская область","Май","Квартал 2",53,46.4,-48.01,"500 - 1 000",0.35,0.65,"100 - 500",0.33,0.64,32605.5,276,4.2
"78","Брянская область","Июнь","Квартал 2",65.5,44.6,4.94,"500 - 1 000",0.31,0.69,"100 - 500",0.36,0.63,32488.6,276,4.2
"79","Брянская область","Июль","Квартал 3",70,44.1,-2.25,"1 000 - 5 000",0.32,0.68,"500 - 1 000",0.34,0.65,32183.8,295,4.4
"80","Брянская область","Август","Квартал 3",70,46.4,8.41,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.38,0.61,31226.2,295,4.4
"81","Брянская область","Сентябрь","Квартал 3",72.5,46.7,-3.26,"1 000 - 5 000",0.32,0.68,"500 - 1 000",0.34,0.65,31681.3,295,4.4
"82","Брянская область","Октябрь","Квартал 4",71,47.4,-9.96,"1 000 - 5 000",0.34,0.66,"500 - 1 000",0.27,0.72,31402.2,337,4
"83","Брянская область","Ноябрь","Квартал 4",66,49.9,-28.38,"500 - 1 000",0.34,0.66,"500 - 1 000",0.22,0.77,31579.1,337,4
"84","Брянская область","Декабрь","Квартал 4",72,47.5,-16.93,"500 - 1 000",0.35,0.65,"500 - 1 000",0.26,0.71,38487.4,337,4
"85","Владимирская область","Январь","Квартал 1",64,52.6,42.22,"500 - 1 000",0.25,0.75,"100 - 500",0.19,0.77,32282.9,1437,3.7
"86","Владимирская область","Февраль","Квартал 1",69,48.7,73.88,"500 - 1 000",0.22,0.78,"100 - 500",0.14,0.83,32167.5,1437,3.7
"87","Владимирская область","Март","Квартал 1",68,49.8,83.99,"1 000 - 5 000",0.22,0.78,"100 - 500",0.16,0.82,33767.6,1437,3.7
"88","Владимирская область","Апрель","Квартал 2",46.5,52,16.89,"100 - 500",0.39,0.61,"100 - 500",0.19,0.79,32313.7,1428,6.3
"89","Владимирская область","Май","Квартал 2",52,53.7,-4.69,"500 - 1 000",0.36,0.64,"100 - 500",0.35,0.62,34325.9,1428,6.3
"90","Владимирская область","Июнь","Квартал 2",66.5,51.2,56.36,"1 000 - 5 000",0.29,0.71,"100 - 500",0.29,0.68,35103.9,1428,6.3
"91","Владимирская область","Июль","Квартал 3",72,51.3,49.61,"1 000 - 5 000",0.38,0.62,"500 - 1 000",0.28,0.7,33994.4,2275,6.6
"92","Владимирская область","Август","Квартал 3",72,53.5,72.43,"1 000 - 5 000",0.39,0.61,"500 - 1 000",0.3,0.68,32389.7,2275,6.6
"93","Владимирская область","Сентябрь","Квартал 3",75,52.6,69.39,"1 000 - 5 000",0.39,0.61,"500 - 1 000",0.23,0.72,32694.4,2275,6.6
"94","Владимирская область","Октябрь","Квартал 4",73,53.6,86.14,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.21,0.74,34610.6,2296,5.7
"95","Владимирская область","Ноябрь","Квартал 4",66.5,56,60.18,"1 000 - 5 000",0.42,0.58,"500 - 1 000",0.22,0.74,33853.5,2296,5.7
"96","Владимирская область","Декабрь","Квартал 4",70,53.9,65.38,"1 000 - 5 000",0.38,0.62,"500 - 1 000",0.2,0.78,43013.4,2296,5.7
"97","Волгоградская область","Январь","Квартал 1",63,54.1,10.63,"1 000 - 5 000",0.33,0.67,"100 - 500",0.22,0.76,32591.7,1126,5.8
"98","Волгоградская область","Февраль","Квартал 1",70,50.1,10.95,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.16,0.83,33028.3,1126,5.8
"99","Волгоградская область","Март","Квартал 1",70,49.7,9.35,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.16,0.81,34614.1,1126,5.8
"100","Волгоградская область","Апрель","Квартал 2",51.5,51.6,-50.37,"500 - 1 000",0.47,0.53,"500 - 1 000",0.11,0.86,33771.6,1191,8.1
"101","Волгоградская область","Май","Квартал 2",57,52.4,-53.75,"1 000 - 5 000",0.45,0.55,"500 - 1 000",0.3,0.68,35392.5,1191,8.1
"102","Волгоградская область","Июнь","Квартал 2",72,49.9,-14.96,"1 000 - 5 000",0.37,0.63,"500 - 1 000",0.29,0.69,35835.1,1191,8.1
"103","Волгоградская область","Июль","Квартал 3",77,49.4,-8.01,"1 000 - 5 000",0.41,0.59,"> 1 000",0.27,0.71,35962.5,1207,9.1
"104","Волгоградская область","Август","Квартал 3",75,50.4,17.18,"1 000 - 5 000",0.41,0.59,"> 1 000",0.27,0.71,34683.2,1207,9.1
"105","Волгоградская область","Сентябрь","Квартал 3",77.5,51.1,9.77,"1 000 - 5 000",0.41,0.59,"> 1 000",0.19,0.77,35087.7,1207,9.1
"106","Волгоградская область","Октябрь","Квартал 4",74,51.8,-11.43,"1 000 - 5 000",0.43,0.57,"> 1 000",0.16,0.82,35116.7,1196,7.3
"107","Волгоградская область","Ноябрь","Квартал 4",65.5,54.7,-19.32,"1 000 - 5 000",0.46,0.54,"> 1 000",0.18,0.79,34491.6,1196,7.3
"108","Волгоградская область","Декабрь","Квартал 4",66,53.1,-16.45,"1 000 - 5 000",0.45,0.55,"> 1 000",0.14,0.83,46445.6,1196,7.3
"109","Вологодская область","Январь","Квартал 1",58,58.8,9.87,"1 000 - 5 000",0.3,0.7,"100 - 500",0.24,0.73,39123,2133,4.1
"110","Вологодская область","Февраль","Квартал 1",64,55.6,11.54,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.2,0.78,43973,2133,4.1
"111","Вологодская область","Март","Квартал 1",65,57.6,-0.59,"1 000 - 5 000",0.27,0.73,"500 - 1 000",0.2,0.77,43283.2,2133,4.1
"112","Вологодская область","Апрель","Квартал 2",44,58.1,-54.95,"500 - 1 000",0.39,0.61,"100 - 500",0.12,0.86,40288.4,2230,6.5
"113","Вологодская область","Май","Квартал 2",50,60.2,-59.06,"1 000 - 5 000",0.32,0.68,"100 - 500",0.42,0.57,42910.2,2230,6.5
"114","Вологодская область","Июнь","Квартал 2",63,57.7,-26.97,"1 000 - 5 000",0.3,0.7,"500 - 1 000",0.37,0.62,43989.8,2230,6.5
"115","Вологодская область","Июль","Квартал 3",67,56.8,-17.34,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.34,0.64,39371.7,2298,7.5
"116","Вологодская область","Август","Квартал 3",67,58.7,3.33,"1 000 - 5 000",0.38,0.62,"500 - 1 000",0.36,0.61,38787,2298,7.5
"117","Вологодская область","Сентябрь","Квартал 3",70.5,57.9,-5.74,"1 000 - 5 000",0.36,0.64,"> 1 000",0.29,0.66,41193.7,2298,7.5
"118","Вологодская область","Октябрь","Квартал 4",69,59.6,-21.76,"1 000 - 5 000",0.34,0.66,"> 1 000",0.29,0.68,41975.4,2364,6.5
"119","Вологодская область","Ноябрь","Квартал 4",68,62,-33.55,"1 000 - 5 000",0.37,0.63,"500 - 1 000",0.25,0.69,40768.4,2364,6.5
"120","Вологодская область","Декабрь","Квартал 4",68,59.6,-31.08,"1 000 - 5 000",0.38,0.62,"> 1 000",0.19,0.78,55522.1,2364,6.5
"121","Воронежская область","Январь","Квартал 1",71,55.5,32.57,"1 000 - 5 000",0.3,0.7,"500 - 1 000",0.26,0.71,32755,5347,3.7
"122","Воронежская область","Февраль","Квартал 1",78,52.3,26.93,"1 000 - 5 000",0.28,0.72,"500 - 1 000",0.28,0.69,33788.3,5347,3.7
"123","Воронежская область","Март","Квартал 1",77,52.7,19.67,"1 000 - 5 000",0.29,0.71,"> 1 000",0.23,0.75,35032.3,5347,3.7
"124","Воронежская область","Апрель","Квартал 2",48.5,54,-49.4,"1 000 - 5 000",0.44,0.56,"500 - 1 000",0.2,0.77,34177.4,5277,4.6
"125","Воронежская область","Май","Квартал 2",60,55.1,-49.14,"1 000 - 5 000",0.38,0.62,"500 - 1 000",0.41,0.58,36550.1,5277,4.6
"126","Воронежская область","Июнь","Квартал 2",73,53.2,-19.79,"1 000 - 5 000",0.33,0.67,"> 1 000",0.41,0.58,37410,5277,4.6
"127","Воронежская область","Июль","Квартал 3",79,52.4,-6.39,"1 000 - 5 000",0.33,0.67,"> 1 000",0.45,0.54,36961.3,5901,4.4
"128","Воронежская область","Август","Квартал 3",79,54,17.65,"1 000 - 5 000",0.3,0.7,"> 1 000",0.41,0.57,34730.6,5901,4.4
"129","Воронежская область","Сентябрь","Квартал 3",88,54.3,13.6,"1 000 - 5 000",0.3,0.7,"> 1 000",0.35,0.63,35744.5,5901,4.4
"130","Воронежская область","Октябрь","Квартал 4",82,55.3,-11.74,"1 000 - 5 000",0.35,0.65,"> 1 000",0.32,0.65,36344.4,6418,4.6
"131","Воронежская область","Ноябрь","Квартал 4",73,58.7,-29.81,"1 000 - 5 000",0.29,0.71,"> 1 000",0.28,0.69,35878.8,6418,4.6
"132","Воронежская область","Декабрь","Квартал 4",72,56.3,-24.12,"1 000 - 5 000",0.25,0.75,"> 1 000",0.29,0.67,46193.2,6418,4.6
"133","Забайкальский край","Январь","Квартал 1",57,54.5,2.6,"1 000 - 5 000",0.37,0.63,"100 - 500",0.31,0.67,43029,924,9.3
"134","Забайкальский край","Февраль","Квартал 1",63,52.6,1.05,"500 - 1 000",0.39,0.61,"100 - 500",0.28,0.71,41528.3,924,9.3
"135","Забайкальский край","Март","Квартал 1",65,54.5,6.16,"500 - 1 000",0.41,0.59,"100 - 500",0.14,0.82,43830.1,924,9.3
"136","Забайкальский край","Апрель","Квартал 2",53,53.4,-44.48,"500 - 1 000",0.58,0.42,"100 - 500",0.14,0.84,44612.8,871,10
"137","Забайкальский край","Май","Квартал 2",55,55,-39.07,"500 - 1 000",0.54,0.46,"100 - 500",0.2,0.76,48936.6,871,10
"138","Забайкальский край","Июнь","Квартал 2",64,53.8,-24.71,"500 - 1 000",0.51,0.49,"100 - 500",0.21,0.74,48865.2,871,10
"139","Забайкальский край","Июль","Квартал 3",66,54.2,-10.91,"1 000 - 5 000",0.46,0.54,"100 - 500",0.15,0.8,44608.1,911,9.8
"140","Забайкальский край","Август","Квартал 3",64,56.4,1.82,"1 000 - 5 000",0.49,0.51,"100 - 500",0.14,0.82,42611.6,911,9.8
"141","Забайкальский край","Сентябрь","Квартал 3",69,55.8,1.25,"500 - 1 000",0.49,0.51,"500 - 1 000",0.12,0.85,46497.8,911,9.8
"142","Забайкальский край","Октябрь","Квартал 4",65,56.5,-19.21,"500 - 1 000",0.5,0.5,"500 - 1 000",0.13,0.82,45512.9,1844,10.1
"143","Забайкальский край","Ноябрь","Квартал 4",58.5,56.7,-34.62,"500 - 1 000",0.54,0.46,"500 - 1 000",0.13,0.83,45703,1844,10.1
"144","Забайкальский край","Декабрь","Квартал 4",63,56.1,-22.17,"500 - 1 000",0.49,0.51,"500 - 1 000",0.16,0.78,68312.7,1844,10.1
"145","Ивановская область","Январь","Квартал 1",54,47.9,17,"100 - 500",0.31,0.69,"100 - 500",0.08,0.88,26415.8,2777,3.8
"146","Ивановская область","Февраль","Квартал 1",60,43.6,30.48,"100 - 500",0.32,0.68,"100 - 500",0.08,0.9,26535.2,2777,3.8
"147","Ивановская область","Март","Квартал 1",60,46.5,9.2,"500 - 1 000",0.36,0.64,"100 - 500",0.05,0.92,27907.1,2777,3.8
"148","Ивановская область","Апрель","Квартал 2",42.5,48.9,-51.8,"100 - 500",0.53,0.47,"100 - 500",0.05,0.9,26770.2,2518,5.9
"149","Ивановская область","Май","Квартал 2",51,49.4,-58.91,"100 - 500",0.49,0.51,"100 - 500",0.15,0.81,28626,2518,5.9
"150","Ивановская область","Июнь","Квартал 2",61,46.6,-21.7,"500 - 1 000",0.38,0.62,"100 - 500",0.16,0.79,29014.9,2518,5.9
"151","Ивановская область","Июль","Квартал 3",67,47,-0.62,"500 - 1 000",0.39,0.61,"100 - 500",0.18,0.8,27981.1,2362,6.1
"152","Ивановская область","Август","Квартал 3",67,49.1,16.72,"500 - 1 000",0.4,0.6,"100 - 500",0.16,0.82,26115,2362,6.1
"153","Ивановская область","Сентябрь","Квартал 3",67.5,48,17.31,"500 - 1 000",0.39,0.61,"500 - 1 000",0.15,0.82,27391.5,2362,6.1
"154","Ивановская область","Октябрь","Квартал 4",66,48.9,-8.58,"500 - 1 000",0.4,0.6,"500 - 1 000",0.14,0.83,27465,2049,5.9
"155","Ивановская область","Ноябрь","Квартал 4",63,50.9,-23.57,"500 - 1 000",0.44,0.56,"100 - 500",0.12,0.84,26924.8,2049,5.9
"156","Ивановская область","Декабрь","Квартал 4",68,49.5,-27.12,"500 - 1 000",0.46,0.54,"100 - 500",0.16,0.81,36931.9,2049,5.9
"157","Иркутская область","Январь","Квартал 1",65,56.7,8.01,"1 000 - 5 000",0.37,0.63,"500 - 1 000",0.13,0.85,45333.6,27074,6.9
"158","Иркутская область","Февраль","Квартал 1",70,54,11.71,"1 000 - 5 000",0.36,0.64,"500 - 1 000",0.12,0.86,44975,27074,6.9
"159","Иркутская область","Март","Квартал 1",70,55.8,-1.04,"1 000 - 5 000",0.36,0.64,"> 1 000",0.12,0.86,48670,27074,6.9
"160","Иркутская область","Апрель","Квартал 2",56,54.9,-57.42,"1 000 - 5 000",0.52,0.48,"> 1 000",0.07,0.91,48365.9,26349,8.3
"161","Иркутская область","Май","Квартал 2",62,57.1,-55.97,"1 000 - 5 000",0.48,0.52,"500 - 1 000",0.18,0.79,52155.8,26349,8.3
"162","Иркутская область","Июнь","Квартал 2",70.5,54.8,-35.9,"1 000 - 5 000",0.43,0.57,"> 1 000",0.19,0.79,52372.4,26349,8.3
"163","Иркутская область","Июль","Квартал 3",73,55.6,-18.78,"1 000 - 5 000",0.43,0.57,"> 1 000",0.15,0.82,47657.5,27207,7.5
"164","Иркутская область","Август","Квартал 3",74,57.2,6.43,"1 000 - 5 000",0.45,0.55,"> 1 000",0.19,0.78,47120,27207,7.5
"165","Иркутская область","Сентябрь","Квартал 3",75,57,-6.33,"1 000 - 5 000",0.43,0.57,"> 1 000",0.16,0.81,47593.2,27207,7.5
"166","Иркутская область","Октябрь","Квартал 4",74,57.8,-30.69,"1 000 - 5 000",0.46,0.54,"> 1 000",0.14,0.82,48914.2,27172,8.1
"167","Иркутская область","Ноябрь","Квартал 4",65,60.1,-36.71,"1 000 - 5 000",0.49,0.51,"> 1 000",0.14,0.83,48480.4,27172,8.1
"168","Иркутская область","Декабрь","Квартал 4",67,58.7,-25.66,"1 000 - 5 000",0.48,0.52,"> 1 000",0.12,0.85,63242.4,27172,8.1
"169","Кабардино-Балкарская Республика","Январь","Квартал 1",52,28.5,24.01,"100 - 500",0.23,0.77,"50 - 100",0.12,0.81,27758.5,57,11.6
"170","Кабардино-Балкарская Республика","Февраль","Квартал 1",58,25.6,34.15,"100 - 500",0.26,0.74,"100 - 500",0.08,0.88,27761.4,57,11.6
"171","Кабардино-Балкарская Республика","Март","Квартал 1",60,26,10.87,"100 - 500",0.22,0.78,"100 - 500",0.12,0.85,27045.3,57,11.6
"172","Кабардино-Балкарская Республика","Апрель","Квартал 2",43.5,26.2,-50.34,"100 - 500",0.43,0.57,"100 - 500",0.08,0.87,28005.8,60,16
"173","Кабардино-Балкарская Республика","Май","Квартал 2",47,25.3,-58.07,"100 - 500",0.34,0.66,"100 - 500",0.19,0.74,31535.9,60,16
"174","Кабардино-Балкарская Республика","Июнь","Квартал 2",58.5,25.2,-18.56,"500 - 1 000",0.24,0.76,"100 - 500",0.11,0.82,35228.3,60,16
"175","Кабардино-Балкарская Республика","Июль","Квартал 3",65,24.4,-8.02,"500 - 1 000",0.26,0.74,"100 - 500",0.07,0.88,27221.8,65,15.2
"176","Кабардино-Балкарская Республика","Август","Квартал 3",66,26.9,28.23,"500 - 1 000",0.22,0.78,"100 - 500",0.08,0.87,27088.6,65,15.2
