Дата,Регион,Значение
2019-12-02,Архангельская область,61.00
2019-12-02,Астраханская область,64.00
2019-12-02,Белгородская область,81.00
2019-12-02,Брянская область,55.00
2019-12-02,Владимирская область,59.00
2019-12-02,Волгоградская область,63.00
2019-12-02,Вологодская область,58.00
2019-12-02,Воронежская область,73.00
2019-12-02,Забайкальский край,60.00
2019-12-02,Ивановская область,56.00
2019-12-02,Иркутская область,66.00
2019-12-02,Кабардино-Балкарская Республика,52.00
2019-12-02,Калининградская область,65.00
2019-12-02,Калужская область,57.00
2019-12-02,Камчатский край,61.00
2019-12-02,Кемеровская область,64.00
2019-12-02,Кировская область,70.00
2019-12-02,Костромская область,51.00
2019-12-02,Краснодарский край,66.00
2019-12-02,Красноярский край,62.00
2019-12-02,Курганская область,60.00
2019-12-02,Курская область,53.00
2019-12-02,Липецкая область,50.00
2019-12-02,Магаданская область,55.00
2019-12-02,Мордовия,62.00
2019-12-02,Москва,76.00
2019-12-02,Московская область,60.00
2019-12-02,Мурманская область,64.00
2019-12-02,Нижегородская область,68.00
2019-12-02,Новгородская область,61.00
2019-12-02,Новосибирская область,68.00
2019-12-02,Омская область,72.00
2019-12-02,Оренбургская область,65.00
2019-12-02,Орловская область,61.00
2019-12-02,Пензенская область,59.00
2019-12-02,Пермский край,57.00
2019-12-02,Приморский край,61.00
2019-12-02,Псковская область,57.00
2019-12-02,Республика Башкортостан,69.00
2019-12-02,Республика Бурятия,66.00
2019-12-02,Республика Дагестан,52.00
2019-12-02,Республика Калмыкия,52.00
2019-12-02,Республика Карачаево-Черкессия,54.00
2019-12-02,Республика Карелия,63.00
2019-12-02,Республика Коми,61.00
2019-12-02,Республика Марий Эл,58.00
2019-12-02,Республика Саха (Якутия),63.00
2019-12-02,Республика Северная Осетия-Алания,49.00
2019-12-02,Республика Татарстан,69.00
2019-12-02,Республика Тыва,51.00
2019-12-02,Республика Хакасия,54.00
2019-12-02,Ростовская область,68.00
2019-12-02,Рязанская область,60.00
2019-12-02,Самарская область,63.00
2019-12-02,Санкт-Петербург,73.00
2019-12-02,Саратовская область,61.00
2019-12-02,Сахалинская область,57.00
2019-12-02,Свердловская область,74.00
2019-12-02,Смоленская область,61.00
2019-12-02,Ставропольский край,60.00
2019-12-02,Тамбовская область,63.00
2019-12-02,Тверская область,57.00
2019-12-02,Томская область,61.00
2019-12-02,Тульская область,58.00
2019-12-02,Тюменская область,77.00
2019-12-02,Удмуртская Республика,62.00
2019-12-02,Ульяновская область,53.00
2019-12-02,Хабаровский край,69.00
2019-12-02,Ханты-Мансийский АО - Югра,59.00
2019-12-02,Челябинская область,60.00
2019-12-02,Чувашская Республика,61.00
2019-12-02,Ямало-Ненецкий АО,59.00
2019-12-02,Ярославская область,61.00
2019-12-03,Россия,62.00
2019-12-03,Адыгея,52.00
2019-12-03,Алтайский край,69.00
2019-12-03,Амурская область,72.00
2019-12-03,Архангельская область,59.00
2019-12-03,Астраханская область,66.00
2019-12-03,Белгородская область,81.00
2019-12-03,Брянская область,59.00
2019-12-03,Владимирская область,61.00
2019-12-03,Волгоградская область,65.00
2019-12-03,Вологодская область,61.00
2019-12-03,Воронежская область,75.00
2019-12-03,Забайкальский край,61.00
2019-12-03,Ивановская область,55.00
2019-12-03,Иркутская область,67.00
2019-12-03,Кабардино-Балкарская Республика,59.00
2019-12-03,Калининградская область,71.00
2019-12-03,Калужская область,60.00
2019-12-03,Камчатский край,59.00
2019-12-03,Кемеровская область,65.00
2019-12-03,Кировская область,68.00
2019-12-03,Костромская область,53.00
2019-12-03,Краснодарский край,64.00
2019-12-03,Красноярский край,67.00
2019-12-03,Курганская область,63.00
2019-12-03,Курская область,53.00
2019-12-03,Липецкая область,50.00
2019-12-03,Магаданская область,57.00
2019-12-03,Мордовия,65.00
2019-12-03,Москва,79.00
2019-12-03,Московская область,63.00
2019-12-03,Мурманская область,64.00
2019-12-03,Нижегородская область,71.00
2019-12-03,Новгородская область,62.00
2019-12-03,Новосибирская область,69.00
2019-12-03,Омская область,72.00
2019-12-03,Оренбургская область,65.00
2019-12-03,Орловская область,63.00
2019-12-03,Пензенская область,62.00
2019-12-03,Пермский край,60.00
2019-12-03,Приморский край,64.00
2019-12-03,Псковская область,58.00
2019-12-03,Республика Башкортостан,71.00
2019-12-03,Республика Бурятия,67.00
2019-12-03,Республика Дагестан,53.00
2019-12-03,Республика Калмыкия,53.00
2019-12-03,Республика Карачаево-Черкессия,51.00
2019-12-03,Республика Карелия,63.00
2019-12-03,Республика Коми,60.00
2019-12-03,Республика Марий Эл,60.00
2019-12-03,Республика Саха (Якутия),65.00
2019-12-03,Республика Северная Осетия-Алания,52.00
2019-12-03,Республика Татарстан,72.00
2019-12-03,Республика Тыва,51.00
2019-12-03,Республика Хакасия,55.00
2019-12-03,Ростовская область,67.00
2019-12-03,Рязанская область,64.00
2019-12-03,Самарская область,64.00
2019-12-03,Санкт-Петербург,74.00
2019-12-03,Саратовская область,64.00
2019-12-03,Сахалинская область,58.00
2019-12-03,Свердловская область,75.00
2019-12-03,Смоленская область,64.00
2019-12-03,Ставропольский край,59.00
2019-12-03,Тамбовская область,62.00
2019-12-03,Тверская область,58.00
2019-12-03,Томская область,63.00
2019-12-03,Тульская область,58.00
2019-12-03,Тюменская область,80.00
2019-12-03,Удмуртская Республика,65.00
2019-12-03,Ульяновская область,56.00
2019-12-03,Хабаровский край,69.00
2019-12-03,Ханты-Мансийский АО - Югра,64.00
2019-12-03,Челябинская область,62.00
2019-12-03,Чувашская Республика,61.00
2019-12-03,Ямало-Ненецкий АО,60.00
2019-12-03,Ярославская область,62.00
2019-12-04,Россия,63.00
2019-12-04,Адыгея,52.00
2019-12-04,Алтайский край,71.00
2019-12-04,Амурская область,75.00
2019-12-04,Архангельская область,61.00
2019-12-04,Астраханская область,64.00
2019-12-04,Белгородская область,83.00
2019-12-04,Брянская область,58.00
2019-12-04,Владимирская область,64.00
2019-12-04,Волгоградская область,72.00
2019-12-04,Вологодская область,60.00
2019-12-04,Воронежская область,76.00
2019-12-04,Забайкальский край,60.00
2019-12-04,Ивановская область,57.00
2019-12-04,Иркутская область,69.00
2019-12-04,Кабардино-Балкарская Республика,54.00
2019-12-04,Калининградская область,70.00
2019-12-04,Калужская область,60.00
2019-12-04,Камчатский край,62.00
2019-12-04,Кемеровская область,66.00
2019-12-04,Кировская область,69.00
2019-12-04,Костромская область,54.00
2019-12-04,Краснодарский край,72.00
2019-12-04,Красноярский край,66.00
2019-12-04,Курганская область,63.00
2019-12-04,Курская область,56.00
2019-12-04,Липецкая область,53.00
2019-12-04,Магаданская область,59.00
2019-12-04,Мордовия,64.00
2019-12-04,Москва,83.00
2019-12-04,Московская область,65.00
2019-12-04,Мурманская область,65.00
2019-12-04,Нижегородская область,71.00
2019-12-04,Новгородская область,62.00
2019-12-04,Новосибирская область,71.00
2019-12-04,Омская область,73.00
2019-12-04,Оренбургская область,65.00
2019-12-04,Орловская область,64.00
2019-12-04,Пензенская область,66.00
2019-12-04,Пермский край,60.00
2019-12-04,Приморский край,64.00
2019-12-04,Псковская область,58.00
2019-12-04,Республика Башкортостан,72.00
2019-12-04,Республика Бурятия,65.00
2019-12-04,Республика Дагестан,53.00
2019-12-04,Республика Калмыкия,56.00
2019-12-04,Республика Карачаево-Черкессия,51.00
2019-12-04,Республика Карелия,63.00
2019-12-04,Республика Коми,61.00
2019-12-04,Республика Марий Эл,60.00
2019-12-04,Республика Саха (Якутия),66.00
2019-12-04,Республика Северная Осетия-Алания,52.00
2019-12-04,Республика Татарстан,70.00
2019-12-04,Республика Тыва,50.00
2019-12-04,Республика Хакасия,54.00
2019-12-04,Ростовская область,71.00
2019-12-04,Рязанская область,62.00
2019-12-04,Самарская область,64.00
2019-12-04,Санкт-Петербург,73.00
2019-12-04,Саратовская область,64.00
2019-12-04,Сахалинская область,58.00
2019-12-04,Свердловская область,75.00
2019-12-04,Смоленская область,63.00
2019-12-04,Ставропольский край,60.00
2019-12-04,Тамбовская область,63.00
2019-12-04,Тверская область,56.00
2019-12-04,Томская область,64.00
2019-12-04,Тульская область,62.00
2019-12-04,Тюменская область,82.00
2019-12-04,Удмуртская Республика,64.00
2019-12-04,Ульяновская область,58.00
2019-12-04,Хабаровский край,69.00
2019-12-04,Ханты-Мансийский АО - Югра,62.00
2019-12-04,Челябинская область,62.00
2019-12-04,Чувашская Республика,64.00
2019-12-04,Ямало-Ненецкий АО,61.00
2019-12-04,Ярославская область,64.00
2019-12-05,Россия,65.00
2019-12-05,Адыгея,55.00
2019-12-05,Алтайский край,75.00
2019-12-05,Амурская область,77.00
2019-12-05,Архангельская область,61.00
2019-12-05,Астраханская область,72.00
2019-12-05,Белгородская область,85.00
2019-12-05,Брянская область,58.00
2019-12-05,Владимирская область,65.00
2019-12-05,Волгоградская область,77.00
2019-12-05,Вологодская область,61.00
2019-12-05,Воронежская область,77.00
2019-12-05,Забайкальский край,59.00
2019-12-05,Ивановская область,60.00
2019-12-05,Иркутская область,71.00
2019-12-05,Кабардино-Балкарская Республика,54.00
2019-12-05,Калининградская область,74.00
2019-12-05,Калужская область,63.00
2019-12-05,Камчатский край,67.00
2019-12-05,Кемеровская область,67.00
2019-12-05,Кировская область,70.00
2019-12-05,Костромская область,52.00
2019-12-05,Краснодарский край,73.00
2019-12-05,Красноярский край,70.00
2019-12-05,Курганская область,66.00
2019-12-05,Курская область,57.00
2019-12-05,Липецкая область,56.00
2019-12-05,Магаданская область,60.00
2019-12-05,Мордовия,68.00
2019-12-05,Москва,85.00
2019-12-05,Московская область,66.00
2019-12-05,Мурманская область,64.00
2019-12-05,Нижегородская область,75.00
2019-12-05,Новгородская область,66.00
2019-12-05,Новосибирская область,73.00
2019-12-05,Омская область,75.00
2019-12-05,Оренбургская область,67.00
2019-12-05,Орловская область,66.00
2019-12-05,Пензенская область,68.00
2019-12-05,Пермский край,60.00
2019-12-05,Приморский край,65.00
2019-12-05,Псковская область,61.00
2019-12-05,Республика Башкортостан,73.00
2019-12-05,Республика Бурятия,68.00
2019-12-05,Республика Дагестан,55.00
2019-12-05,Республика Калмыкия,55.00
2019-12-05,Республика Карачаево-Черкессия,52.00
2019-12-05,Республика Карелия,64.00
2019-12-05,Республика Коми,63.00
2019-12-05,Республика Марий Эл,64.00
2019-12-05,Республика Саха (Якутия),67.00
2019-12-05,Республика Северная Осетия-Алания,55.00
2019-12-05,Республика Татарстан,72.00
2019-12-05,Республика Тыва,54.00
2019-12-05,Республика Хакасия,56.00
2019-12-05,Ростовская область,70.00
2019-12-05,Рязанская область,65.00
2019-12-05,Самарская область,65.00
2019-12-05,Санкт-Петербург,74.00
2019-12-05,Саратовская область,70.00
2019-12-05,Сахалинская область,62.00
2019-12-05,Свердловская область,77.00
2019-12-05,Смоленская область,65.00
2019-12-05,Ставропольский край,62.00
2019-12-05,Тамбовская область,64.00
2019-12-05,Тверская область,60.00
2019-12-05,Томская область,68.00
2019-12-05,Тульская область,64.00
2019-12-05,Тюменская область,82.00
2019-12-05,Удмуртская Республика,63.00
2019-12-05,Ульяновская область,58.00
2019-12-05,Хабаровский край,73.00
2019-12-05,Ханты-Мансийский АО - Югра,65.00
2019-12-05,Челябинская область,61.00
2019-12-05,Чувашская Республика,64.00
2019-12-05,Ямало-Ненецкий АО,63.00
2019-12-05,Ярославская область,67.00
2019-12-06,Россия,72.00
2019-12-06,Адыгея,59.00
2019-12-06,Алтайский край,87.00
2019-12-06,Амурская область,85.00
2019-12-06,Архангельская область,72.00
2019-12-06,Астраханская область,78.00
2019-12-06,Белгородская область,91.00
2019-12-06,Брянская область,67.00
2019-12-06,Владимирская область,78.00
2019-12-06,Волгоградская область,80.00
2019-12-06,Вологодская область,68.00
2019-12-06,Воронежская область,83.00
2019-12-06,Забайкальский край,72.00
2019-12-06,Ивановская область,68.00
2019-12-06,Иркутская область,77.00
2019-12-06,Кабардино-Балкарская Республика,53.00
2019-12-06,Калининградская область,75.00
2019-12-06,Калужская область,72.00
2019-12-06,Камчатский край,76.00
2019-12-06,Кемеровская область,72.00
2019-12-06,Кировская область,78.00
2019-12-06,Костромская область,59.00
2019-12-06,Краснодарский край,81.00
2019-12-06,Красноярский край,76.00
2019-12-06,Курганская область,72.00
2019-12-06,Курская область,61.00
2019-12-06,Липецкая область,64.00
2019-12-06,Магаданская область,68.00
2019-12-06,Мордовия,76.00
2019-12-06,Москва,94.00
2019-12-06,Московская область,72.00
2019-12-06,Мурманская область,74.00
2019-12-06,Нижегородская область,81.00
2019-12-06,Новгородская область,72.00
2019-12-06,Новосибирская область,77.00
2019-12-06,Омская область,79.00
2019-12-06,Оренбургская область,72.00
2019-12-06,Орловская область,77.00
2019-12-06,Пензенская область,75.00
2019-12-06,Пермский край,67.00
2019-12-06,Приморский край,74.00
2019-12-06,Псковская область,63.00
2019-12-06,Республика Башкортостан,80.00
2019-12-06,Республика Бурятия,75.00
2019-12-06,Республика Дагестан,55.00
2019-12-06,Республика Калмыкия,61.00
2019-12-06,Республика Карачаево-Черкессия,59.00
2019-12-06,Республика Карелия,70.00
2019-12-06,Республика Коми,70.00
2019-12-06,Республика Марий Эл,66.00
2019-12-06,Республика Саха (Якутия),74.00
2019-12-06,Республика Северная Осетия-Алания,61.00
2019-12-06,Республика Татарстан,80.00
2019-12-06,Республика Тыва,55.00
2019-12-06,Республика Хакасия,61.00
2019-12-06,Ростовская область,77.00
2019-12-06,Рязанская область,72.00
2019-12-06,Самарская область,75.00
2019-12-06,Санкт-Петербург,80.00
2019-12-06,Саратовская область,76.00
2019-12-06,Сахалинская область,70.00
2019-12-06,Свердловская область,86.00
2019-12-06,Смоленская область,73.00
2019-12-06,Ставропольский край,70.00
2019-12-06,Тамбовская область,75.00
2019-12-06,Тверская область,70.00
2019-12-06,Томская область,72.00
2019-12-06,Тульская область,72.00
2019-12-06,Тюменская область,87.00
2019-12-06,Удмуртская Республика,72.00
2019-12-06,Ульяновская область,69.00
2019-12-06,Хабаровский край,80.00
2019-12-06,Ханты-Мансийский АО - Югра,70.00
2019-12-06,Челябинская область,72.00
2019-12-06,Чувашская Республика,69.00
2019-12-06,Ямало-Ненецкий АО,70.00
2019-12-06,Ярославская область,73.00
2019-12-07,Россия,66.00
2019-12-07,Адыгея,58.00
2019-12-07,Алтайский край,71.00
2019-12-07,Амурская область,81.00
2019-12-07,Архангельская область,69.00
2019-12-07,Астраханская область,69.00
2019-12-07,Белгородская область,77.00
2019-12-07,Брянская область,62.00
2019-12-07,Владимирская область,67.00
2019-12-07,Волгоградская область,72.00
2019-12-07,Вологодская область,61.00
2019-12-07,Воронежская область,69.00
2019-12-07,Забайкальский край,66.00
2019-12-07,Ивановская область,62.00
2019-12-07,Иркутская область,72.00
2019-12-07,Кабардино-Балкарская Республика,52.00
2019-12-07,Калининградская область,70.00
2019-12-07,Калужская область,66.00
2019-12-07,Камчатский край,71.00
2019-12-07,Кемеровская область,61.00
2019-12-07,Кировская область,71.00
2019-12-07,Костромская область,59.00
2019-12-07,Краснодарский край,72.00
2019-12-07,Красноярский край,71.00
2019-12-07,Курганская область,65.00
2019-12-07,Курская область,59.00
2019-12-07,Липецкая область,57.00
2019-12-07,Магаданская область,68.00
2019-12-07,Мордовия,67.00
2019-12-07,Москва,80.00
2019-12-07,Московская область,68.00
2019-12-07,Мурманская область,71.00
2019-12-07,Нижегородская область,73.00
2019-12-07,Новгородская область,61.00
2019-12-07,Новосибирская область,68.00
2019-12-07,Омская область,70.00
2019-12-07,Оренбургская область,69.00
2019-12-07,Орловская область,67.00
2019-12-07,Пензенская область,70.00
2019-12-07,Пермский край,63.00
2019-12-07,Приморский край,71.00
2019-12-07,Псковская область,57.00
2019-12-07,Республика Башкортостан,67.00
2019-12-07,Республика Бурятия,71.00
2019-12-07,Республика Дагестан,53.00
2019-12-07,Республика Калмыкия,59.00
2019-12-07,Республика Карачаево-Черкессия,52.00
2019-12-07,Республика Карелия,64.00
2019-12-07,Республика Коми,64.00
2019-12-07,Республика Марий Эл,59.00
2019-12-07,Республика Саха (Якутия),69.00
2019-12-07,Республика Северная Осетия-Алания,53.00
2019-12-07,Республика Татарстан,70.00
2019-12-07,Республика Тыва,53.00
2019-12-07,Республика Хакасия,58.00
2019-12-07,Ростовская область,70.00
2019-12-07,Рязанская область,65.00
2019-12-07,Самарская область,65.00
2019-12-07,Санкт-Петербург,71.00
2019-12-07,Саратовская область,71.00
2019-12-07,Сахалинская область,65.00
2019-12-07,Свердловская область,76.00
2019-12-07,Смоленская область,66.00
2019-12-07,Ставропольский край,64.00
2019-12-07,Тамбовская область,67.00
2019-12-07,Тверская область,65.00
2019-12-07,Томская область,66.00
2019-12-07,Тульская область,64.00
2019-12-07,Тюменская область,79.00
2019-12-07,Удмуртская Республика,60.00
2019-12-07,Ульяновская область,64.00
2019-12-07,Хабаровский край,78.00
2019-12-07,Ханты-Мансийский АО - Югра,69.00
2019-12-07,Челябинская область,64.00
2019-12-07,Чувашская Республика,65.00
2019-12-07,Ямало-Ненецкий АО,73.00
2019-12-07,Ярославская область,66.00
2019-12-08,Россия,53.00
2019-12-08,Адыгея,50.00
2019-12-08,Алтайский край,64.00
2019-12-08,Амурская область,64.00
2019-12-08,Архангельская область,56.00
2019-12-08,Астраханская область,57.00
2019-12-08,Белгородская область,62.00
2019-12-08,Брянская область,53.00
2019-12-08,Владимирская область,56.00
2019-12-08,Волгоградская область,59.00
2019-12-08,Вологодская область,49.00
2019-12-08,Воронежская область,59.00
2019-12-08,Забайкальский край,51.00
2019-12-08,Ивановская область,49.00
2019-12-08,Иркутская область,58.00
2019-12-08,Кабардино-Балкарская Республика,41.00
2019-12-08,Калининградская область,62.00
2019-12-08,Калужская область,54.00
2019-12-08,Камчатский край,59.00
2019-12-08,Кемеровская область,52.00
2019-12-08,Кировская область,57.00
2019-12-08,Костромская область,48.00
2019-12-08,Краснодарский край,60.00
2019-12-08,Красноярский край,59.00
2019-12-08,Курганская область,54.00
2019-12-08,Курская область,46.00
2019-12-08,Липецкая область,48.00
2019-12-08,Магаданская область,46.00
2019-12-08,Мордовия,54.00
2019-12-08,Москва,69.00
2019-12-08,Московская область,58.00
2019-12-08,Мурманская область,60.00
2019-12-08,Нижегородская область,59.00
2019-12-08,Новгородская область,52.00
2019-12-08,Новосибирская область,57.00
2019-12-08,Омская область,62.00
2019-12-08,Оренбургская область,56.00
2019-12-08,Орловская область,55.00
2019-12-08,Пензенская область,57.00
2019-12-08,Пермский край,49.00
2019-12-08,Приморский край,59.00
2019-12-08,Псковская область,47.00
2019-12-08,Республика Башкортостан,54.00
2019-12-08,Республика Бурятия,58.00
2019-12-08,Республика Дагестан,47.00
2019-12-08,Республика Калмыкия,48.00
2019-12-08,Республика Карачаево-Черкессия,43.00
2019-12-08,Республика Карелия,53.00
2019-12-08,Республика Коми,48.00
2019-12-08,Республика Марий Эл,49.00
2019-12-08,Республика Саха (Якутия),52.00
2019-12-08,Республика Северная Осетия-Алания,51.00
2019-12-08,Республика Татарстан,55.00
2019-12-08,Республика Тыва,43.00
2019-12-08,Республика Хакасия,47.00
2019-12-08,Ростовская область,58.00
2019-12-08,Рязанская область,56.00
2019-12-08,Самарская область,54.00
2019-12-08,Санкт-Петербург,59.00
2019-12-08,Саратовская область,58.00
2019-12-08,Сахалинская область,53.00
2019-12-08,Свердловская область,60.00
2019-12-08,Смоленская область,54.00
2019-12-08,Ставропольский край,54.00
2019-12-08,Тамбовская область,53.00
2019-12-08,Тверская область,53.00
2019-12-08,Томская область,52.00
2019-12-08,Тульская область,53.00
2019-12-08,Тюменская область,64.00
2019-12-08,Удмуртская Республика,49.00
2019-12-08,Ульяновская область,52.00
2019-12-08,Хабаровский край,63.00
2019-12-08,Ханты-Мансийский АО - Югра,55.00
2019-12-08,Челябинская область,54.00
2019-12-08,Чувашская Республика,50.00
2019-12-08,Ямало-Ненецкий АО,56.00
2019-12-08,Ярославская область,51.00
2019-12-09,Россия,61.00
2019-12-09,Адыгея,54.00
2019-12-09,Алтайский край,74.00
2019-12-09,Амурская область,70.00
2019-12-09,Архангельская область,63.00
2019-12-09,Астраханская область,67.00
2019-12-09,Белгородская область,83.00
2019-12-09,Брянская область,53.00
2019-12-09,Владимирская область,64.00
2019-12-09,Волгоградская область,70.00
2019-12-09,Вологодская область,56.00
2019-12-09,Воронежская область,75.00
2019-12-09,Забайкальский край,59.00
2019-12-09,Ивановская область,55.00
2019-12-09,Иркутская область,65.00
2019-12-09,Кабардино-Балкарская Республика,52.00
2019-12-09,Калининградская область,71.00
2019-12-09,Калужская область,60.00
2019-12-09,Камчатский край,61.00
2019-12-09,Кемеровская область,61.00
2019-12-09,Кировская область,68.00
2019-12-09,Костромская область,50.00
2019-12-09,Краснодарский край,67.00
2019-12-09,Красноярский край,65.00
2019-12-09,Курганская область,60.00
2019-12-09,Курская область,52.00
2019-12-09,Липецкая область,53.00
2019-12-09,Магаданская область,58.00
2019-12-09,Мордовия,62.00
2019-12-09,Москва,81.00
2019-12-09,Московская область,64.00
2019-12-09,Мурманская область,64.00
2019-12-09,Нижегородская область,65.00
2019-12-09,Новгородская область,60.00
2019-12-09,Новосибирская область,67.00
2019-12-09,Омская область,67.00
2019-12-09,Оренбургская область,62.00
2019-12-09,Орловская область,63.00
2019-12-09,Пензенская область,62.00
2019-12-09,Пермский край,59.00
2019-12-09,Приморский край,62.00
2019-12-09,Псковская область,58.00
2019-12-09,Республика Башкортостан,68.00
2019-12-09,Республика Бурятия,66.00
2019-12-09,Республика Дагестан,52.00
2019-12-09,Республика Калмыкия,54.00
2019-12-09,Республика Карачаево-Черкессия,52.00
2019-12-09,Республика Карелия,58.00
2019-12-09,Республика Коми,61.00
2019-12-09,Республика Марий Эл,60.00
2019-12-09,Республика Саха (Якутия),62.00
2019-12-09,Республика Северная Осетия-Алания,50.00
2019-12-09,Республика Татарстан,71.00
2019-12-09,Республика Тыва,49.00
2019-12-09,Республика Хакасия,50.00
2019-12-09,Ростовская область,68.00
2019-12-09,Рязанская область,59.00
2019-12-09,Самарская область,60.00
2019-12-09,Санкт-Петербург,72.00
2019-12-09,Саратовская область,65.00
2019-12-09,Сахалинская область,56.00
2019-12-09,Свердловская область,72.00
2019-12-09,Смоленская область,61.00
2019-12-09,Ставропольский край,57.00
2019-12-09,Тамбовская область,64.00
2019-12-09,Тверская область,59.00
2019-12-09,Томская область,63.00
2019-12-09,Тульская область,58.00
2019-12-09,Тюменская область,79.00
2019-12-09,Удмуртская Республика,62.00
2019-12-09,Ульяновская область,57.00
2019-12-09,Хабаровский край,66.00
2019-12-09,Ханты-Мансийский АО - Югра,59.00
2019-12-09,Челябинская область,60.00
2019-12-09,Чувашская Республика,65.00
2019-12-09,Ямало-Ненецкий АО,58.00
2019-12-09,Ярославская область,60.00
2019-12-10,Россия,66.00
2019-12-10,Адыгея,57.00
2019-12-10,Алтайский край,77.00
2019-12-10,Амурская область,73.00
2019-12-10,Архангельская область,62.00
2019-12-10,Астраханская область,71.00
2019-12-10,Белгородская область,88.00
2019-12-10,Брянская область,61.00
2019-12-10,Владимирская область,70.00
2019-12-10,Волгоградская область,74.00
2019-12-10,Вологодская область,63.00
2019-12-10,Воронежская область,80.00
2019-12-10,Забайкальский край,64.00
2019-12-10,Ивановская область,61.00
2019-12-10,Иркутская область,69.00
2019-12-10,Кабардино-Балкарская Республика,54.00
2019-12-10,Калининградская область,72.00
2019-12-10,Калужская область,64.00
2019-12-10,Камчатский край,68.00
2019-12-10,Кемеровская область,65.00
2019-12-10,Кировская область,71.00
2019-12-10,Костромская область,53.00
2019-12-10,Краснодарский край,73.00
2019-12-10,Красноярский край,70.00
2019-12-10,Курганская область,65.00
2019-12-10,Курская область,60.00
2019-12-10,Липецкая область,57.00
2019-12-10,Магаданская область,59.00
2019-12-10,Мордовия,68.00
2019-12-10,Москва,85.00
2019-12-10,Московская область,68.00
2019-12-10,Мурманская область,66.00
2019-12-10,Нижегородская область,77.00
2019-12-10,Новгородская область,64.00
2019-12-10,Новосибирская область,70.00
2019-12-10,Омская область,68.00
2019-12-10,Оренбургская область,67.00
2019-12-10,Орловская область,67.00
2019-12-10,Пензенская область,68.00
2019-12-10,Пермский край,63.00
2019-12-10,Приморский край,70.00
2019-12-10,Псковская область,63.00
2019-12-10,Республика Башкортостан,74.00
2019-12-10,Республика Бурятия,71.00
2019-12-10,Республика Дагестан,57.00
2019-12-10,Республика Калмыкия,56.00
2019-12-10,Республика Карачаево-Черкессия,53.00
2019-12-10,Республика Карелия,67.00
2019-12-10,Республика Коми,62.00
2019-12-10,Республика Марий Эл,61.00
2019-12-10,Республика Саха (Якутия),67.00
2019-12-10,Республика Северная Осетия-Алания,54.00
2019-12-10,Республика Татарстан,74.00
